,enterprise_id,enterprise_name,enterprise_name_code
886,06651044-1,安徽格努博尔塑业,"['0304040', '0282400', '0479640', '0474270', '0430420', '0279020', '0871040', '0321000']"
887,32800682-8,安徽海恩特塑业,"['0304040', '0282400', '0381570', '0603300', '0245410', '0871040', '0321000']"
888,MA2T77RN-4,安徽百鑫包装,"['0304040', '0282400', '0106020', '0801190', '0277120', '0347320']"
889,MA2RQ1P0-9,安徽美佳佳塑业,"['0304040', '0282400', '0808040', '0242140', '0242140', '0871040', '0321000']"
890,59866415-0,安徽银灵塑业,"['0304040', '0282400', '0877320', '0178090', '0871040', '0321000']"
891,73709090-1,常州市晨辉注塑模具,"['0902270', '0320000', '0002270', '0602320', '0972540', '0301140', '0871040', '0449840', '0778010']"
892,74680406-4,常州春翔电器塑料,"['0902270', '0320000', '0506080', '0875200', '0507160', '0666680', '0871040', '0949000']"
893,31383266-8,常州江春注塑,"['0902270', '0320000', '0311120', '0506080', '0301140', '0871040']"
894,69677927-7,常州玲梅塑料,"['0902270', '0320000', '0181320', '0489570', '0871040', '0949000']"
895,74066697-5,常州禾郡电器,"['0902270', '0320000', '0209040', '0176270', '0507160', '0666680']"
896,78647862-X,惠州市天顺精密注塑,"['0503330', '0320000', '0002270', '0108040', '0210820', '0959270', '0307720', '0301140', '0871040']"
897,67395819-2,杭州临安杨岱注塑制品,"['0409170', '0320000', '0280630', '0304040', '0479270', '0237720', '0301140', '0871040', '0222000', '0606600']"
898,76202606-3,杭州富阳辰晟源电子,"['0409170', '0320000', '0306060', '0762000', '0712320', '0602530', '0311960', '0507160', '0174070']"
899,76821454-0,杭州科力达模型,"['0409170', '0320000', '0249000', '0400270', '0343080', '0449840', '0121040']"
900,61541020-9,三江瓦力特特种车辆,"['0101010', '0311120', '0107170', '0400270', '0245410', '0245410', '0259060', '0405000', '0415270']"
901,55006376-X,上海金盾特种车辆装备,"['0211000', '0381570', '0801090', '0722640', '0245410', '0259060', '0405000', '0415270', '0347320', '0276040']"
902,56774982-1,临沂红盛车辆改装,"['0280630', '0321210', '0211120', '0531020', '0405000', '0415270', '0187400', '0347320']"
903,70028209-6,北京中天高科特种车辆,"['0121100', '0009060', '0500060', '0108040', '0002270', '0249000', '0245410', '0259060', '0405000', '0415270']"
904,57320216-0,北京安龙特种车辆,"['0121100', '0009060', '0304040', '0430140', '0245410', '0259060', '0405000', '0415270']"
905,MA44MTQU-8,华宇方圆（河南）车辆改装,"['0244010', '0304010', '0002270', '0608020', '0000000', '0311200', '0402270', '0000000', '0405000', '0415270', '0187400', '0347320']"
906,14912370-3,合肥开乐特种车辆,"['0806010', '0772170', '0104400', '0729040', '0245410', '0259060', '0405000', '0415270']"
907,77728531-6,大连万顺特种车辆制造,"['0408000', '0343050', '0102270', '0210820', '0245410', '0259060', '0405000', '0415270', '0222000', '0343060']"
908,10338330-7,天津市车辆改装厂,"['0108040', '0351070', '0002270', '0405000', '0415270', '0187400', '0347320', '0712000']"
909,58306063-7,威海广泰特种车辆,"['0532000', '0381570', '0002000', '0509090', '0245410', '0259060', '0405000', '0415270']"
910,34447634-4,威海高赛华运汽车改装,"['0532000', '0381570', '0002270', '0308020', '0244010', '0313030', '0381170', '0405000', '0187400', '0347320']"
911,39408601-0,安徽太空车辆改装,"['0304040', '0282400', '0400300', '0301020', '0405000', '0415270', '0187400', '0347320']"
912,79865154-9,山东建宇特种车辆,"['0227700', '0409040', '0154000', '0304010', '0245410', '0259060', '0405000', '0415270']"
913,77100813-1,山东恩信特种车辆制造,"['0227700', '0409040', '0603300', '0202610', '0245410', '0259060', '0405000', '0415270', '0222000', '0343060']"
914,05312777-7,平凉市华星车辆改装,"['0104090', '0301960', '0002270', '0244010', '0601050', '0405000', '0415270', '0187400', '0347320']"
915,05658847-2,广东飞驰特种车辆股份,"['0002000', '0409040', '0120130', '0741120', '0245410', '0259060', '0405000', '0415270', '0772470', '0282270']"
916,MA1ND513-5,无锡德事隆特种车辆,"['0104120', '0867270', '0242310', '0500070', '0772150', '0245410', '0259060', '0405000', '0415270']"
917,58554654-2,江苏亿翔特种车辆,"['0311120', '0443300', '0272100', '0875200', '0245410', '0259060', '0405000', '0415270']"
918,34623393-6,江苏天明特种车辆,"['0311120', '0443300', '0108040', '0670200', '0245410', '0259060', '0405000', '0415270']"
919,77688682-2,江苏海鹏特种车辆,"['0311120', '0443300', '0381570', '0772270', '0245410', '0259060', '0405000', '0415270']"
920,07275365-0,江苏鸿昌特种车辆,"['0311120', '0443300', '0371270', '0606000', '0245410', '0259060', '0405000', '0415270']"
921,25038862-6,江阴市汽车改装厂,"['0311120', '0772200', '0002270', '0381170', '0405000', '0187400', '0347320', '0712000']"
922,09780393-3,河南胜通车辆改装,"['0311200', '0402270', '0752100', '0373020', '0405000', '0415270', '0187400', '0347320']"
923,78180466-8,浙江西贝虎特种车辆股份,"['0321210', '0311120', '0106040', '0778020', '0212170', '0245410', '0259060', '0405000', '0415270', '0772470', '0282270']"
924,MA4Q01E3-4,湖南星邦改装汽车制造,"['0371200', '0402270', '0601050', '0570270', '0187400', '0347320', '0381170', '0405000', '0222000', '0343060']"
925,MA4Q01E3-5,牡丹江特种车辆改装厂,"['0245100', '0774400', '0311120', '0245410', '0259060', '0405000', '0415270', '0187400', '0347320', '0712000']"
926,33128815-X,苏州雅奇改装车辆制造,"['0443300', '0320000', '0702150', '0406210', '0187400', '0347320', '0405000', '0415270', '0222000', '0343060']"
927,MA3MB8RG-7,蜗牛特种车辆装备,"['0561270', '0250000', '0245410', '0259060', '0405000', '0415270', '0347320', '0276040']"
928,22067399-5,西铁火车改装修造厂,"['0106040', '0857800', '0908000', '0405000', '0187400', '0347320', '0272220', '0343060', '0712000']"
929,78876202-6,辽宁保利特种车辆,"['0373020', '0302010', '0262940', '0229000', '0245410', '0259060', '0405000', '0415270']"
930,31052860-1,东莞丸仁电子,"['0409040', '0442120', '0500170', '0212100', '0507160', '0174070']"
931,MA51J5PW-5,东莞云晖光电,"['0409040', '0442120', '0107320', '0670540', '0902120', '0507160']"
932,32163618-1,东莞圆锋电子,"['0409040', '0442120', '0608020', '0877540', '0507160', '0174070']"
933,MA4WBLPR-0,东莞市创慧电子,"['0409040', '0442120', '0002270', '0827000', '0553370', '0507160', '0174070']"
934,31526580-4,东莞极飞无人机科技,"['0409040', '0442120', '0479470', '0120130', '0104120', '0800000', '0479100', '0249000', '0540470']"
935,MA51654K-2,东莞认知智能科技,"['0409040', '0442120', '0387000', '0868000', '0866000', '0222120', '0249000', '0540470']"
936,MA4X8F94-9,东莞长盈精密技术大朗杨涌分,"['0409040', '0442120', '0427300', '0171020', '0959270', '0307720', '0540470', '0439000', '0408000', '0377200', '0479270', '0371270', '0802270']"
937,MA1UQ5XR-2,中环领先半导体材料,"['0500060', '0111900', '0813820', '0242120', '0905000', '0773410', '0252300', '0449000', '0949000']"
938,32166657-5,中芯长电半导体（江阴）,"['0500060', '0443300', '0427300', '0507160', '0905000', '0773410', '0252300', '0000000', '0311120', '0772200', '0000000']"
939,72446680-X,乐普科（天津）光电,"['0729040', '0806010', '0249000', '0000000', '0108040', '0351070', '0000000', '0902120', '0507160']"
940,MA6KUB4U-0,云南顺华智能科技,"['0107320', '0402270', '0210820', '0244010', '0866000', '0222120', '0249000', '0540470']"
941,MA64AF3G-7,信利（仁寿）高端显示科技,"['0202610', '0229000', '0000000', '0212100', '0503400', '0000000', '0002270', '0021270', '0601020', '0109010', '0249000', '0540470']"
942,56747418-6,北京世纪金光半导体,"['0121100', '0009060', '0447170', '0271170', '0801090', '0902120', '0905000', '0773410', '0252300']"
943,56954447-5,北京融安特智能科技股份,"['0121100', '0009060', '0152360', '0304040', '0245410', '0866000', '0222120', '0249000', '0540470', '0772470', '0282270']"
944,59516677-0,华为技术重庆分,"['0244010', '0340270', '0540470', '0439000', '0201050', '0002840', '0802270']"
945,05853449-4,华为终端,"['0244010', '0340270', '0271330', '0021270']"
946,MA384899-4,吉安市培真电子,"['0406010', '0304040', '0002270', '0401610', '0408010', '0507160', '0174070']"
947,MA38539F-5,吉安市炎翔电子,"['0406010', '0304040', '0002270', '0908090', '0875200', '0507160', '0174070']"
948,09614403-2,四川天乐信达光电,"['0602120', '0220000', '0108040', '0729040', '0202610', '0343080', '0902120', '0507160']"
949,09532368-8,四川羽玺电子科技,"['0602120', '0220000', '0171200', '0271030', '0507160', '0174070', '0249000', '0540470']"
950,68223019-5,大工科技（上海）,"['0408000', '0101020', '0249000', '0540470', '0000000', '0211000', '0381570', '0000000']"
951,69137338-2,宁波博莱特光电科技股份,"['0302010', '0341470', '0430420', '0449050', '0245410', '0902120', '0507160', '0249000', '0540470', '0772470', '0282270']"
952,55138508-2,小米科技,"['0900000', '0909040', '0249000', '0540470']"
953,MA515X5Q-9,广东星星精密玻璃科技,"['0002000', '0409040', '0601050', '0601050', '0959270', '0307720', '0141470', '0101270', '0249000', '0540470']"
954,MA5AN3Y0-5,广州科语机器人,"['0002000', '0320000', '0249000', '0317610', '0479100', '0666680', '0800000']"
955,MA5AMY9D-1,广州粤芯半导体技术,"['0002000', '0320000', '0260270', '0443300', '0905000', '0773410', '0252300', '0540470', '0439000']"
956,39628390-7,成都优博创通信技术股份,"['0532000', '0476270', '0232120', '0430420', '0827000', '0373020', '0202610', '0540470', '0439000', '0772470', '0282270']"
957,72342612-8,成都市川北电子机械设备,"['0532000', '0476270', '0002270', '0220000', '0121100', '0507160', '0174070', '0479100', '0439500', '0377470', '0276040']"
958,61378044-1,文登科乐波电子,"['0004000', '0121080', '0249000', '0729040', '0341470', '0507160', '0174070']"
959,72497767-7,文登霓特伦特电子,"['0004000', '0121080', '0102120', '0245410', '0282120', '0245410', '0507160', '0174070']"
960,MA0NACRW-9,内蒙古中朵置业,"['0402270', '0442320', '0406000', '0500060', '0779040', '0601020', '0321000']"
961,78707856-4,内蒙古伊泰置业集团,"['0402270', '0442320', '0406000', '0272070', '0509090', '0601020', '0321000', '0209040', '0602400']"
962,68004753-0,内蒙古吉日格琅房地产开发,"['0402270', '0442320', '0406000', '0406010', '0601000', '0479640', '0131320', '0302270', '0441120', '0002010', '0104400', '0234070']"
963,55813077-9,内蒙古吉泰房地产开发阿巴嘎旗分,"['0402270', '0442320', '0406000', '0406010', '0509090', '0302270', '0441120', '0002010', '0104400', '0234070', '0712200', '0777170', '0610530', '0082810', '0802270']"
964,68003558-0,内蒙古吉美房地产开发,"['0402270', '0442320', '0406000', '0406010', '0808040', '0302270', '0441120', '0002010', '0104400', '0234070']"
965,68003558-1,内蒙古基初房地产开发,"['0402270', '0442320', '0406000', '0441040', '0372200', '0302270', '0441120', '0002010', '0104400', '0234070']"
966,67694030-X,内蒙古宏城房地产开发,"['0402270', '0442320', '0406000', '0307320', '0431500', '0302270', '0441120', '0002010', '0104400', '0234070']"
967,39747168-6,内蒙古宏孚置业,"['0402270', '0442320', '0406000', '0307320', '0204070', '0601020', '0321000']"
968,55546837-9,内蒙古宏晨房地产开发,"['0402270', '0442320', '0406000', '0307320', '0602320', '0302270', '0441120', '0002010', '0104400', '0234070']"
969,74014249-3,内蒙古惠源房地产开发,"['0402270', '0442320', '0406000', '0503330', '0311960', '0302270', '0441120', '0002010', '0104400', '0234070']"
970,MA0Q0H2A-1,内蒙古慧宁房地产开发,"['0402270', '0442320', '0406000', '0553370', '0302010', '0302270', '0441120', '0002010', '0104400', '0234070']"
971,08217017-6,内蒙古慧泰置业,"['0402270', '0442320', '0406000', '0553370', '0509090', '0601020', '0321000']"
972,MA0NGMJA-8,内蒙古慧泽房地产开发,"['0402270', '0442320', '0406000', '0553370', '0371540', '0302270', '0441120', '0002010', '0104400', '0234070']"
973,MA0NLRJU-2,内蒙古慧谷鼎和房地产开发,"['0402270', '0442320', '0406000', '0553370', '0806080', '0222270', '0269000', '0302270', '0441120', '0002010', '0104400', '0234070']"
974,72012050-2,内蒙古红安房地产,"['0402270', '0442320', '0406000', '0211120', '0304040', '0302270', '0441120', '0002010']"
975,MA0NQC95-0,内蒙古红盾房地产开发,"['0402270', '0442320', '0406000', '0211120', '0722640', '0302270', '0441120', '0002010', '0104400', '0234070']"
976,57325866-6,内蒙古红福房地产开发,"['0402270', '0442320', '0406000', '0211120', '0312660', '0302270', '0441120', '0002010', '0104400', '0234070']"
977,55281767-6,内蒙古红胜园房地产开发,"['0402270', '0442320', '0406000', '0211120', '0752100', '0602120', '0302270', '0441120', '0002010', '0104400', '0234070']"
978,MA0Q28WR-8,内蒙古红达房地产开发,"['0402270', '0442320', '0406000', '0211120', '0343080', '0302270', '0441120', '0002010', '0104400', '0234070']"
979,70146766-6,内蒙古绩业房地产开发,"['0402270', '0442320', '0406000', '0251820', '0321000', '0302270', '0441120', '0002010', '0104400', '0234070']"
980,MA0PYTW9-1,内蒙古融创房地产开发,"['0402270', '0442320', '0406000', '0152360', '0827000', '0302270', '0441120', '0002010', '0104400', '0234070']"
981,69285628-X,内蒙古西蒙奈伦置业,"['0402270', '0442320', '0406000', '0106040', '0442320', '0409010', '0282120', '0601020', '0321000']"
982,66096277-4,内蒙古金汉房地产,"['0402270', '0442320', '0406000', '0801090', '0371400', '0302270', '0441120', '0002010']"
983,66096277-5,内蒙古金港房地产,"['0402270', '0442320', '0406000', '0801090', '0341170', '0302270', '0441120', '0002010']"
984,57886390-2,内蒙古金航房地产开发,"['0402270', '0442320', '0406000', '0801090', '0204170', '0302270', '0441120', '0002010', '0104400', '0234070']"
985,57326977-9,内蒙古金颢仑房地产开发,"['0402270', '0442320', '0406000', '0801090', '0619820', '0807120', '0302270', '0441120', '0002010', '0104400', '0234070']"
986,55547643-2,内蒙古霍煤龙兴房地产开发股份,"['0402270', '0442320', '0406000', '0102150', '0948940', '0430140', '0908010', '0302270', '0441120', '0002010', '0104400', '0234070', '0772470', '0282270']"
987,68001585-4,包头一机置业,"['0277120', '0348000', '0100000', '0479100', '0601020', '0321000']"
988,55811391-X,包头中冶正盛置业,"['0277120', '0348000', '0500060', '0331600', '0101010', '0531020', '0601020', '0321000']"
989,MA0PYCEU-2,包头市新城亿卓房地产开发,"['0277120', '0348000', '0002270', '0029210', '0431500', '0272100', '0214060', '0302270', '0441120', '0002010', '0104400', '0234070']"
990,MA1FL1HQ-0,上海万达小额贷款,"['0211000', '0381570', '0102270', '0343080', '0900000', '0316820', '0238020', '0479820']"
991,MA1910B7-X,中新（黑龙江）互联网小额贷款,"['0500060', '0029210', '0000000', '0603310', '0430140', '0311120', '0000000', '0101020', '0184840', '0772200', '0900000', '0316820', '0238020', '0479820']"
992,58165718-1,佐力科创小额贷款股份,"['0242120', '0400270', '0249000', '0827000', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
993,69591848-2,内蒙古汇能小额贷款,"['0402270', '0442320', '0406000', '0311100', '0222120', '0900000', '0316820', '0238020', '0479820']"
994,31830233-2,北京京汇小额贷款,"['0121100', '0009060', '0009060', '0311100', '0900000', '0316820', '0238020', '0479820']"
995,57181850-0,南宁市金通小额贷款,"['0402270', '0302010', '0002270', '0801090', '0373020', '0900000', '0316820', '0238020', '0479820']"
996,MA0Y304B-X,吉林省小额再贷款股份,"['0406010', '0449900', '0906020', '0900000', '0316820', '0104470', '0238020', '0479820', '0772470', '0282270']"
997,68473920-0,天津滨海新区天保小额贷款,"['0108040', '0351070', '0331810', '0381570', '0029210', '0717140', '0108040', '0262940', '0900000', '0316820', '0238020', '0479820']"
998,55016405-0,安庆新昌小额贷款股份,"['0304040', '0002840', '0029210', '0606000', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
999,08222584-3,安徽省小额再贷款股份,"['0304040', '0282400', '0906020', '0900000', '0316820', '0104470', '0238020', '0479820', '0772470', '0282270']"
1000,55514773-5,嵩明县信达昌小额贷款,"['0222270', '0670200', '0777320', '0202610', '0343080', '0606000', '0900000', '0316820', '0238020', '0479820']"
1001,07189224-5,广东省粤科科技小额贷款股份,"['0002000', '0409040', '0906020', '0260270', '0249000', '0249000', '0540470', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
1002,MA59J30J-1,广州二三四五互联网小额贷款,"['0002000', '0320000', '0101000', '0101010', '0602120', '0101020', '0101020', '0184840', '0772200', '0900000', '0316820', '0238020', '0479820']"
1003,MA59CKC2-7,广州拉卡拉网络小额贷款,"['0002000', '0320000', '0500180', '0212310', '0500180', '0772200', '0271640', '0900000', '0316820', '0238020', '0479820']"
1004,MA59BE6B-0,广州欢聚小额贷款,"['0002000', '0320000', '0774820', '0172320', '0900000', '0316820', '0238020', '0479820']"
1005,08036988-6,广州立根小额再贷款股份,"['0002000', '0320000', '0001080', '0479320', '0900000', '0316820', '0104470', '0238020', '0479820', '0772470', '0282270']"
1006,05420700-7,德清金汇小额贷款,"['0242310', '0351270', '0801090', '0311100', '0900000', '0316820', '0238020', '0479820']"
1007,69368597-X,成都同兴小额贷款股份,"['0532000', '0476270', '0772200', '0908010', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
1008,68234394-X,武汉信用小额贷款股份,"['0131400', '0371400', '0202610', '0772200', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
1009,66101328-X,深圳市世联小额贷款,"['0371940', '0421000', '0002270', '0447170', '0184840', '0900000', '0316820', '0238020', '0479820']"
1010,MA5EEB9P-7,深圳市华宜贷小额贷款,"['0371940', '0421000', '0002270', '0244010', '0301020', '0238020', '0900000', '0316820', '0238020', '0479820']"
1011,59952152-2,甘肃公航旅小额贷款股份,"['0447700', '0502270', '0807320', '0204170', '0082320', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
1012,09884810-5,石家庄市中弘和信小额贷款,"['0106020', '0302320', '0002140', '0002270', '0500060', '0122310', '0269000', '0202610', '0900000', '0316820', '0238020', '0479820']"
1013,06466806-9,西藏优富小额贷款,"['0106040', '0442530', '0232120', '0306060', '0900000', '0316820', '0238020', '0479820']"
1014,MA5U49X3-4,重庆两江新区盛际小额贷款,"['0201050', '0002840', '0102270', '0311120', '0029210', '0717140', '0531020', '0712910', '0900000', '0316820', '0238020', '0479820']"
1015,09241856-9,重庆两江新区科易小额贷款,"['0201050', '0002840', '0102270', '0311120', '0029210', '0717140', '0249000', '0602270', '0900000', '0316820', '0238020', '0479820']"
1016,58284987-1,重庆商汇小额贷款股份,"['0201050', '0002840', '0002270', '0311100', '0900000', '0316820', '0238020', '0479820', '0772470', '0282270']"
1017,57619056-4,重庆市蚂蚁商诚小额贷款,"['0201050', '0002840', '0002270', '0571270', '0541030', '0002270', '0337500', '0900000', '0316820', '0238020', '0479820']"
1018,07369182-6,重庆市蚂蚁小微小额贷款,"['0201050', '0002840', '0002270', '0571270', '0541030', '0900000', '0282400', '0900000', '0316820', '0238020', '0479820']"
1019,09494177-5,重庆海尔小额贷款,"['0201050', '0002840', '0381570', '0279020', '0900000', '0316820', '0238020', '0479820']"
1020,63186631-0,上海卫忠连接器,"['0211000', '0381570', '0171020', '0503360', '0343050', '0500440', '0666680']"
1021,06747779-4,上饶市达淋新材料,"['0211000', '0257120', '0002270', '0343080', '0341900', '0029210', '0449000', '0949000']"
1022,77096561-8,东莞华实连接器制造,"['0409040', '0442120', '0244010', '0308040', '0343050', '0500440', '0666680', '0222000', '0343060']"
1023,77185471-7,东莞富强电子,"['0409040', '0442120', '0306060', '0162360', '0507160', '0174070']"
1024,05683104-9,东莞市天智连接器,"['0409040', '0442120', '0002270', '0108040', '0866000', '0343050', '0500440', '0666680']"
1025,MA4W7N2T-4,东莞市巩固连接器,"['0409040', '0442120', '0002270', '0171100', '0606040', '0343050', '0500440', '0666680']"
1026,MA4WH3KY-X,东莞市捷融电子连接器,"['0409040', '0442120', '0002270', '0550810', '0152360', '0507160', '0174070', '0343050', '0500440', '0666680']"
1027,MA4UH99F-9,中山市祺鑫电线连接器,"['0500060', '0227700', '0002270', '0342810', '0801190', '0507160', '0231500', '0343050', '0500440', '0666680']"
1028,77070331-9,乐清市创鑫连接器,"['0729040', '0351270', '0002270', '0827000', '0801190', '0343050', '0500440', '0666680']"
1029,79339126-6,乐清市鸿祥连接器制造,"['0729040', '0351270', '0002270', '0371270', '0382510', '0343050', '0500440', '0666680', '0222000', '0343060']"
1030,74324262-5,兴英科技（深圳）,"['0908010', '0448050', '0249000', '0540470', '0000000', '0371940', '0421000', '0000000']"
1031,75031676-8,国基电子（上海）,"['0601030', '0441040', '0507160', '0174070', '0000000', '0211000', '0381570', '0000000']"
1032,57646943-4,声电电子科技（惠州）,"['0402070', '0507160', '0507160', '0174070', '0249000', '0540470', '0000000', '0503330', '0320000', '0000000']"
1033,60828043-4,富士康电子工业发展（昆山）,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
1034,61799646-9,富港电子（东莞）,"['0306060', '0341170', '0507160', '0174070', '0000000', '0409040', '0442120', '0000000']"
1035,70405251-1,富钰精密组件（昆山）,"['0306060', '0817130', '0959270', '0307720', '0271120', '0252000', '0000000', '0607120', '0227700', '0000000']"
1036,70405251-2,常州市盛士达汽车流体连接器,"['0902270', '0320000', '0002270', '0531020', '0401000', '0343080', '0381170', '0405000', '0301120', '0252300', '0343050', '0500440', '0666680']"
1037,MA59EQTH-5,广州瑞安信连接器,"['0002000', '0320000', '0121270', '0304040', '0202610', '0343050', '0500440', '0666680']"
1038,60820717-3,康普通讯技术（中国）,"['0002990', '0806010', '0373020', '0377100', '0540470', '0439000', '0000000', '0500060', '0601030', '0000000']"
1039,71722538-9,慈溪市烁宇连接器厂,"['0803330', '0321840', '0002270', '0928940', '0304010', '0343050', '0500440', '0666680', '0712000']"
1040,73015019-0,慈溪市逍林镇跃进电子连接器件厂,"['0803330', '0321840', '0002270', '0393020', '0449900', '0847810', '0621840', '0353000', '0507160', '0174070', '0343050', '0500440', '0666680', '0252000', '0712000']"
1041,55904076-7,新普科技（重庆）,"['0029210', '0806010', '0249000', '0540470', '0000000', '0201050', '0002840', '0000000']"
1042,13867094-7,江苏中天科技股份,"['0311120', '0443300', '0500060', '0108040', '0249000', '0540470', '0772470', '0282270']"
1043,73464630-2,沈阳兴华航空电器,"['0341120', '0762000', '0908010', '0244010', '0204170', '0301020', '0507160', '0666680']"
1044,06924669-0,浙江赛创连接器,"['0321210', '0311120', '0308020', '0827000', '0343050', '0500440', '0666680']"
1045,MA5EHGH3-8,深圳富桂精密工业,"['0371940', '0421000', '0306060', '0449140', '0959270', '0307720', '0101020', '0321000']"
1046,33518692-7,深圳市电连旭发技术,"['0371940', '0421000', '0002270', '0507160', '0343050', '0460100', '0234070', '0540470', '0439000']"
1047,MA5EFAXX-8,深圳市腾踏电子连接器,"['0371940', '0421000', '0002270', '0792270', '0621690', '0507160', '0174070', '0343050', '0500440', '0666680']"
1048,68203143-6,深圳市锶拓通讯连接器,"['0371940', '0421000', '0002270', '0867300', '0510620', '0373020', '0377100', '0343050', '0500440', '0666680']"
1049,MA31YUYF-X,精连（厦门）连接器,"['0959270', '0343050', '0000000', '0712470', '0370010', '0000000', '0343050', '0500440', '0666680']"
1050,MA62G7PK-9,三台县绿梦源养殖,"['0101010', '0236000', '0777320', '0271990', '0442070', '0311960', '0802280', '0142120']"
1051,MA4R17QU-4,临武县赛福郎德鹅业养殖专业合作社,"['0280630', '0131400', '0777320', '0308020', '0312660', '0377270', '0242310', '0275270', '0321000', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1052,MA7315BF-4,临洮县林军种养殖业农民专业合作社,"['0280630', '0321130', '0777320', '0449900', '0375040', '0259060', '0802280', '0142120', '0321000', '0407320', '0777470', '0503020', '0321000', '0806010', '0282110', '0342100']"
1053,MA53DHGR-9,佛山市鸡农辉家禽养殖,"['0252270', '0227700', '0002270', '0774270', '0407320', '0972540', '0302320', '0802270', '0802280', '0142120']"
1054,MA391Y7F-6,修水县古市镇长福畜禽养殖专业合作社,"['0272220', '0129000', '0777320', '0406000', '0002270', '0847810', '0427300', '0312660', '0006030', '0802270', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1055,MA2U3HY8-2,六安市六岗禽业种养殖专业合作社,"['0008000', '0304040', '0002270', '0008000', '0222270', '0802270', '0321000', '0259060', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1056,MA1YJ1PF-8,南京市六合区乐和家禽养殖,"['0402270', '0009060', '0002270', '0008000', '0806010', '0717140', '0729040', '0269000', '0302320', '0802270', '0802280', '0142120']"
1057,MA38RJHU-2,南城县国明四福养鸡场,"['0402270', '0431500', '0777320', '0601030', '0670200', '0602120', '0312660', '0802280', '0774270', '0471270']"
1058,MA5NLJDP-0,南宁市武鸣区良凤禽业,"['0402270', '0302010', '0002270', '0131400', '0670270', '0717140', '0307320', '0772100', '0802270', '0321000']"
1059,MA65GKTW-0,四川奕帆养殖,"['0602120', '0220000', '0008040', '0472100', '0802280', '0142120']"
1060,MA0EF0N0-8,大名县晓波养殖,"['0408000', '0276020', '0777320', '0650120', '0341470', '0802280', '0142120']"
1061,MA2UE3RD-0,天长市长鹤鹅业饲养专业合作社,"['0108040', '0427300', '0002270', '0427300', '0472270', '0275270', '0321000', '0277200', '0802280', '0503020', '0321000', '0806010', '0282110', '0342100']"
1062,MA70QXTF-9,安康富强珍禽养殖,"['0304040', '0002990', '0306060', '0162360', '0181220', '0802270', '0802280', '0142120']"
1063,MA4CWY5A-6,宣恩咯咯哒养鸡专业合作社,"['0301060', '0603300', '0670640', '0670640', '0640380', '0802280', '0774270', '0503020', '0321000', '0806010', '0282110', '0342100']"
1064,MA5NX4QY-1,宾阳农利来养殖,"['0308010', '0762000', '0407320', '0229000', '0509000', '0802280', '0142120']"
1065,MA1BXQG1-X,尚志市君源畜禽养殖专业合作社,"['0902270', '0403310', '0002270', '0176070', '0311960', '0006030', '0802270', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1066,MA6P0PMB-9,巧家县珍禽养殖农民专业合作社,"['0111270', '0302320', '0777320', '0181220', '0802270', '0802280', '0142120', '0407320', '0777470', '0503020', '0321000', '0806010', '0282110', '0342100']"
1067,MA71KRU0-4,广河县成星家禽养殖农民专业合作社,"['0002000', '0311200', '0777320', '0532000', '0601050', '0302320', '0802270', '0802280', '0142120', '0407320', '0777470', '0503020', '0321000', '0806010', '0282110', '0342100']"
1068,MA60AL2T-X,彭水县铃诗嘉翌畜禽养殖专业合作社,"['0421220', '0129000', '0777320', '0887320', '0347410', '0404610', '0171080', '0006030', '0802270', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1069,MA53NA33-5,惠州市伟廷养殖,"['0503330', '0320000', '0002270', '0252270', '0124010', '0802280', '0142120']"
1070,MA3P303B-0,招远市钰源养殖专业合作社,"['0570620', '0313010', '0002270', '0817130', '0311960', '0802280', '0142120', '0503020', '0321000', '0806010', '0282110', '0342100']"
1071,MA1BN636-9,拜泉县久旺庭院家禽饲养专业合作社,"['0215500', '0269020', '0777320', '0278000', '0610140', '0002410', '0732120', '0302320', '0802270', '0277200', '0802280', '0503020', '0321000', '0806010', '0282110', '0342100']"
1072,MA1BHM35-1,拜泉县景龙庭院大鹅饲养专业合作社,"['0215500', '0269020', '0777320', '0609060', '0430140', '0002410', '0732120', '0408000', '0275270', '0277200', '0802280', '0503020', '0321000', '0806010', '0282110', '0342100']"
1073,MA3PPJ2E-0,昌乐县忆农畜禽专业合作社,"['0606000', '0729040', '0777320', '0970100', '0407320', '0006030', '0802270', '0503020', '0321000', '0806010', '0282110', '0342100']"
1074,MA0EGA5M-6,晋州艳海养殖场,"['0106010', '0320000', '0570170', '0381570', '0802280', '0142120', '0471270']"
