,enterprise_id,enterprise_name,enterprise_name_code
47,61740059-X,广东英维饲料,"['0002000', '0409040', '0448050', '0201150', '0277200', '0949000']"
48,73617828-2,广东银海水产饲料,"['0002000', '0409040', '0877320', '0381570', '0129000', '0002010', '0277200', '0949000']"
49,MA3NH8DW-2,德州派得宠物食品,"['0242310', '0320000', '0321320', '0262410', '0304140', '0275200', '0807320', '0606600']"
50,78541140-7,成都双胞胎饲料,"['0532000', '0476270', '0774400', '0772120', '0732600', '0277200', '0949000']"
51,79002465-5,成都唐人神湘大骆驼饲料,"['0532000', '0476270', '0002650', '0800000', '0352060', '0361000', '0408000', '0771640', '0731120', '0277200', '0949000']"
52,MA27YQCM-X,杭州俞盈饲料,"['0409170', '0320000', '0802210', '0171020', '0277200', '0949000']"
53,72005112-1,杭州正平生物技术,"['0409170', '0320000', '0101010', '0104090', '0251000', '0275200', '0540470', '0439000']"
54,MA1MCRL2-8,江苏乐普生物技术,"['0311120', '0443300', '0729040', '0806010', '0251000', '0275200', '0540470', '0439000']"
55,66009676-5,江苏明辉饲料,"['0311120', '0443300', '0670200', '0972540', '0277200', '0949000']"
56,MA1P6DR9-5,江苏牧迪饲料,"['0311120', '0443300', '0285400', '0353060', '0277200', '0949000']"
57,57674383-5,江苏科盛富邦饲料,"['0311120', '0443300', '0249000', '0531020', '0306060', '0570270', '0277200', '0949000']"
58,77883977-1,江西省万事发饲料,"['0311120', '0106040', '0906020', '0102270', '0500070', '0234070', '0277200', '0949000']"
59,15864334-8,江西省伟梦饲料,"['0311120', '0106040', '0906020', '0252270', '0442070', '0277200', '0949000']"
60,71092841-X,中国人寿保险股份,"['0500060', '0601030', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270']"
61,71093449-X,中国人寿财产保险股份,"['0500060', '0601030', '0800000', '0503400', '0748000', '0002010', '0262940', '0782190', '0772470', '0282270']"
62,71093370-2,中国人民人寿保险股份,"['0500060', '0601030', '0800000', '0777470', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270']"
63,32231682-5,中国人民人寿保险股份重庆市陈家桥营销服务部,"['0500060', '0601030', '0800000', '0777470', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270', '0201050', '0002840', '0002270', '0742940', '0302320', '0429280', '0446060', '0897270', '0772470', '0274270', '0076270']"
64,10002373-6,中国人民保险集团股份,"['0500060', '0601030', '0800000', '0777470', '0262940', '0782190', '0209040', '0602400', '0772470', '0282270']"
65,71093148-3,中国人民财产保险股份,"['0500060', '0601030', '0800000', '0777470', '0748000', '0002010', '0262940', '0782190', '0772470', '0282270']"
66,10002371-X,中国再保险（集团）股份,"['0500060', '0601030', '0104470', '0262940', '0782190', '0000000', '0209040', '0602400', '0000000', '0772470', '0282270']"
67,71092903-3,中国出口信用保险,"['0500060', '0601030', '0227720', '0600000', '0202610', '0772200', '0262940', '0782190']"
68,71092842-8,中国太平保险集团,"['0500060', '0601030', '0400300', '0104090', '0262940', '0782190', '0209040', '0602400']"
69,73337320-X,中国太平洋财产保险股份,"['0500060', '0601030', '0400300', '0104090', '0381510', '0748000', '0002010', '0262940', '0782190', '0772470', '0282270']"
70,MA71LDA2-0,中国太平洋财产保险股份临洮支,"['0500060', '0601030', '0400300', '0104090', '0381510', '0748000', '0002010', '0262940', '0782190', '0772470', '0282270', '0280630', '0321130', '0404070']"
71,71093073-9,中国平安人寿保险股份,"['0500060', '0601030', '0104090', '0304040', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270']"
72,71093072-0,中国平安财产保险股份,"['0500060', '0601030', '0104090', '0304040', '0748000', '0002010', '0262940', '0782190', '0772470', '0282270']"
73,78679932-7,中德安联人寿保险浙江分宁波营销服务部,"['0500060', '0242310', '0304040', '0184840', '0800000', '0503400', '0262940', '0782190', '0321210', '0311120', '0802270', '0302010', '0341470', '0446060', '0897270', '0772470', '0274270', '0076270']"
74,68165176-4,中德安联人寿保险浙江分平湖营销服务部,"['0500060', '0242310', '0304040', '0184840', '0800000', '0503400', '0262940', '0782190', '0321210', '0311120', '0802270', '0104090', '0371200', '0446060', '0897270', '0772470', '0274270', '0076270']"
75,79763830-X,中德安联人寿保险浙江分金华营销服务部,"['0500060', '0242310', '0304040', '0184840', '0800000', '0503400', '0262940', '0782190', '0321210', '0311120', '0802270', '0801090', '0244010', '0446060', '0897270', '0772470', '0274270', '0076270']"
76,71782536-8,中邮人寿保险股份,"['0500060', '0576270', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270']"
77,55682845-2,大家人寿保险股份,"['0408000', '0302320', '0800000', '0503400', '0262940', '0782190', '0772470', '0282270']"
78,MA1FR59M-0,太平洋保险代理,"['0400300', '0104090', '0381510', '0262940', '0782190', '0232400', '0161150']"
