,left_enterprise_name_code,left_enterprise_id,similarity,right_RequestId,right_RequestNameCode
23,"['0900000', '0381510', '0101040', '0507160', '0341120', '0000000', '0227700', '0409040', '0000000']",MA3PG9FG-3,0.67289186,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
24,"['0002000', '0304040', '0801090', '0401000', '0441120', '0104400', '0234070', '0570470', '0378020', '0000000', '0209040', '0602400', '0000000']",MA62B5QM-9,0.6728657,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
25,"['0252270', '0227700', '0002270', '0302320', '0171020', '0401000', '0507160', '0174070']",74802075-7,0.67285615,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
26,"['0407100', '0108040', '0602120', '0204070', '0311640', '0002610', '0000000', '0002000', '0320000', '0000000']",56021326-6,0.67252356,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
27,"['0451060', '0242310', '0000000', '0608040', '0311120', '0000000', '0507160', '0174070', '0103020', '0252000']",75274154-9,0.67135245,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
28,"['0244010', '0371200', '0000000', '0211000', '0381570', '0000000', '0302270', '0441120', '0002010', '0104400', '0234070']",69723548-2,0.6712142,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
29,"['0500060', '0121270', '0446060', '0343060', '0000000', '0002000', '0320000', '0000000', '0101020', '0269140']",MA5C43FU-8,0.670828,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
30,"['0729040', '0601050', '0381170', '0405000', '0507160', '0174070', '0000000', '0502270', '0277270', '0000000']",61437062-0,0.66915584,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
31,"['0244010', '0407320', '0252400', '0002990', '0002010', '0321000', '0234070', '0772320']",MA59PCCX-X,0.6683508,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
32,"['0500060', '0443300', '0601030', '0712910', '0209040', '0532000', '0507160', '0671640', '0029210', '0540470', '0439000', '0116400', '0234070', '0000000', '0211000', '0381570', '0000000']",31057582-X,0.6679304,c,"['0306060', '0401000', '0002990', '0507160', '0174070', '0101020', '0321000', '0234070', '0772320', '0000000', '0607120', '0227700', '0000000']"
